dose,cv_iiv,AUC_E,Cmax,herg_rate,caco_rate,composite_score,constraints_met,efficacy_score,safety_score
65.78947368421052,0.5,10.728613874384806,6.562108587917468,0.8889318786589802,1.0,-9.548641820756403,False,0.7152409249589871,0.05553406067050992
73.68421052631578,0.15,11.948151940442694,7.349561618467564,0.5979026798001726,0.9445324110173303,-9.430560940545792,False,0.7965434626961796,0.22878245459124846
73.68421052631578,0.175,11.948151940442694,7.349561618467564,0.6359298571947712,0.9741060102842576,-9.444081095878097,False,0.7965434626961796,0.19498206626048553
73.68421052631578,0.19999999999999998,11.948151940442694,7.349561618467564,0.6708199880778752,1.0,-9.456237919997868,False,0.7965434626961796,0.16459000596106232
73.68421052631578,0.22499999999999998,11.948151940442694,7.349561618467564,0.70318079922427,1.0,-9.462710082227145,False,0.7965434626961796,0.148409600387865
73.68421052631578,0.25,11.948151940442694,7.349561618467564,0.7334491334074308,1.0,-9.468763749063779,False,0.7965434626961796,0.13327543329628466
73.68421052631578,0.27499999999999997,11.948151940442694,7.349561618467564,0.7619510534649994,1.0,-9.474464133075292,False,0.7965434626961796,0.11902447326750032
73.68421052631578,0.3,11.948151940442694,7.349561618467564,0.7889373158686407,1.0,-9.47986138555602,False,0.7965434626961796,0.1055313420656796
73.68421052631578,0.32499999999999996,11.948151940442694,7.349561618467564,0.8146055050663306,1.0,-9.484995023395559,False,0.7965434626961796,0.09269724746683472
73.68421052631578,0.35,11.948151940442694,7.349561618467564,0.8391144772651776,1.0,-9.489896817835328,False,0.7965434626961796,0.08044276136741124
73.68421052631578,0.375,11.948151940442694,7.349561618467564,0.86259413988938,1.0,-9.494592750360168,False,0.7965434626961796,0.06870293005530992
73.68421052631578,0.39999999999999997,11.948151940442694,7.349561618467564,0.8851522809733351,1.0,-9.499104378576959,False,0.7965434626961796,0.05742385951333251
73.68421052631578,0.42499999999999993,11.948151940442694,7.349561618467564,0.9068794656360915,1.0,-9.50344981550951,False,0.7965434626961796,0.046560267181954273
73.68421052631578,0.44999999999999996,11.948151940442694,7.349561618467564,0.9278526272800306,1.0,-9.507644447838299,False,0.7965434626961796,0.03607368635998465
73.68421052631578,0.475,11.948151940442694,7.349561618467564,0.9481377540452754,1.0,-9.511701473191348,False,0.7965434626961796,0.02593112297736222
73.68421052631578,0.5,11.948151940442694,7.349561618467564,0.9677919336806287,1.0,-9.515632309118418,False,0.7965434626961796,0.01610403315968567
81.57894736842105,0.15,13.161161431512834,8.13701464901766,0.645332068133762,0.9161271761136941,-9.385845391588978,False,0.8774107621008557,0.2192703778762719
81.57894736842105,0.175,13.161161431512834,8.13701464901766,0.6863757996011429,0.9448113987702218,-9.399790982413759,False,0.8774107621008557,0.18440640081431758
81.57894736842105,0.19999999999999998,13.161161431512834,8.13701464901766,0.7240336343641116,0.9703837463723488,-9.412437018886779,False,0.8774107621008557,0.1527913096317698
81.57894736842105,0.22499999999999998,13.161161431512834,8.13701464901766,0.758961507894581,0.9935140613223639,-9.424048656582876,False,0.8774107621008557,0.12376221539152765
81.57894736842105,0.25,13.161161431512834,8.13701464901766,0.7916309160730343,1.0,-9.431879725954094,False,0.8774107621008557,0.10418454196348281
81.57894736842105,0.27499999999999997,13.161161431512834,8.13701464901766,0.8223937870852217,1.0,-9.43803230015653,False,0.8774107621008557,0.08880310645738909
81.57894736842105,0.3,13.161161431512834,8.13701464901766,0.8515207689779314,1.0,-9.443857696535073,False,0.8774107621008557,0.07423961551103431
81.57894736842105,0.32499999999999996,13.161161431512834,8.13701464901766,0.8792251198360509,1.0,-9.449398566706696,False,0.8774107621008557,0.06038744008197461
81.57894736842105,0.35,13.161161431512834,8.13701464901766,0.9056782973367788,1.0,-9.454689202206842,False,0.8774107621008557,0.04716085133161063
81.57894736842105,0.375,13.161161431512834,8.13701464901766,0.931020513975486,1.0,-9.459757645534584,False,0.8774107621008557,0.034489743012257046
81.57894736842105,0.39999999999999997,13.161161431512834,8.13701464901766,0.9553681082090947,1.0,-9.464627164381305,False,0.8774107621008557,0.022315945895452716
81.57894736842105,0.42499999999999993,13.161161431512834,8.13701464901766,0.9788188293495766,1.0,-9.469317308609401,False,0.8774107621008557,0.010590585325211732
81.57894736842105,0.44999999999999996,13.161161431512834,8.13701464901766,1.0,1.0,-9.473553542739486,False,0.8774107621008557,0.0
